_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
123,13468134.0,Spadina Ave,Bremner Blvd,123,123,123,SPADINA AVE,BREMNER BLVD,6138,1579,Spadina Ave And Bremner Blvd / Fort York Blvd,None,SPADINA AVE,BREMNER BLVD,FORT YORK BLVD,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,14,52,None,2017-09-28T04:00:00,"{'type': 'Point', 'coordinates': (-79.39300400153301, 43.6405620021071)}"
124,13469508.0,The Queensway,Royal York Rd,124,124,124,THE QUEENSWAY,ROYAL YORK RD,6139,565,The Queensway And Royal York Rd,None,THE QUEENSWAY,ROYAL YORK RD,None,None,None,Etobicoke York,Etobicoke-Lakeshore(3),None,None,None,22,None,None,2017-06-05T04:00:00,"{'type': 'Point', 'coordinates': (-79.5026320022918, 43.6263360042642)}"
125,13468803.0,Lake Shore Blvd W,Strachan Ave,125,125,125,LAKE SHORE BLVD W,STRACHAN AVE,6140,222,Lake Shore Blvd W And Strachan Ave / Remembrance Dr,None,LAKE SHORE BLVD W,STRACHAN AVE,REMEMBRANCE DR,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,14,None,None,2017-10-06T04:00:00,"{'type': 'Point', 'coordinates': (-79.4087450089457, 43.6344420021957)}"
126,13448547.0,Lawrence Ave E,Markham Rd,126,126,126,LAWRENCE AVE E,MARKHAM RD,6141,420,Lawrence Ave E And Markham Rd,None,LAWRENCE AVE E,MARKHAM RD,None,None,None,Scarborough,Scarborough-Guildwood(24),None,None,None,43,None,None,2017-03-24T04:00:00,"{'type': 'Point', 'coordinates': (-79.2253240008177, 43.7598219974576)}"
127,13455910.0,Jane St,Falstaff Ave,127,127,127,JANE ST,FALSTAFF AVE,6142,531,Jane St And Falstaff Ave / Gordon Mackay Rd,None,JANE ST,FALSTAFF AVE,GORDON MACKAY RD,None,None,Etobicoke York,York South-Weston(5),None,None,None,12,None,None,2017-10-20T04:00:00,"{'type': 'Point', 'coordinates': (-79.507223997328, 43.71545601023811)}"
128,13454662.0,Avenue Rd,Lawrence Ave W,128,128,128,AVENUE RD,LAWRENCE AVE W,6143,119,Avenue Rd And Lawrence Ave W,None,AVENUE RD,LAWRENCE AVE W,None,None,None,North York,Eglinton-Lawrence(8),None,None,None,32,53,None,2017-03-14T04:00:00,"{'type': 'Point', 'coordinates': (-79.4156090060983, 43.7222550020132)}"
129,13443081.0,Pharmacy Ave,McNicoll Ave,129,129,129,PHARMACY AVE,MCNICOLL AVE,6145,1241,Pharmacy Ave And Mcnicoll Ave,None,PHARMACY AVE,MCNICOLL AVE,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2017-03-24T04:00:00,"{'type': 'Point', 'coordinates': (-79.330734002608, 43.8041220005354)}"
130,13445553.0,Markham Rd,Progress Ave,130,130,130,MARKHAM RD,PROGRESS AVE,6146,878,Markham Rd And Progress Ave,None,MARKHAM RD,PROGRESS AVE,None,None,None,Scarborough,Scarborough-Guildwood(24),None,None,None,43,None,None,2017-08-11T04:00:00,"{'type': 'Point', 'coordinates': (-79.2338900025899, 43.7817459980457)}"
131,13444062.0,Markham Rd,Sheppard Ave E,131,131,131,MARKHAM RD,SHEPPARD AVE E,6147,701,Markham Rd And Sheppard Ave E,None,MARKHAM RD,SHEPPARD AVE E,None,None,None,Scarborough,Scarborough North(23),None,None,None,42,None,None,2017-04-11T04:00:00,"{'type': 'Point', 'coordinates': (-79.2387520051422, 43.7938690047402)}"
132,13445096.0,Don Mills Rd,Van Horne Ave,132,132,132,DON MILLS RD,VAN HORNE AVE,6148,628,Don Mills Rd And Van Horne Ave,None,DON MILLS RD,VAN HORNE AVE,None,None,None,North York,Don Valley North(17),None,None,None,33,None,None,2017-07-10T04:00:00,"{'type': 'Point', 'coordinates': (-79.3530289956111, 43.7873450079363)}"
133,13443095.0,Sheppard Ave E,Morningside Ave,133,133,133,SHEPPARD AVE E,MORNINGSIDE AVE,6149,1108,Sheppard Ave E And Morningside Ave,None,SHEPPARD AVE E,MORNINGSIDE AVE,None,None,None,Scarborough,Scarborough-Rouge Park(25),None,None,None,42,None,None,2017-03-10T05:00:00,"{'type': 'Point', 'coordinates': (-79.1997710048694, 43.8019740056559)}"
134,13443245.0,Morningside Ave,Milner Ave,134,134,134,MORNINGSIDE AVE,MILNER AVE,6150,1584,Morningside Ave And Milner Ave,None,MORNINGSIDE AVE,MILNER AVE,None,None,None,Scarborough,Scarborough-Rouge Park(25),None,None,None,42,None,None,2017-03-10T05:00:00,"{'type': 'Point', 'coordinates': (-79.19908000627852, 43.8002799962731)}"
135,13442363.0,Kennedy Rd,McNicoll Ave,135,135,135,KENNEDY RD,MCNICOLL AVE,6152,1586,Kennedy Rd And Mcnicoll Ave,None,KENNEDY RD,MCNICOLL AVE,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2017-09-28T04:00:00,"{'type': 'Point', 'coordinates': (-79.3019450092272, 43.8121360060908)}"
136,13446212.0,Markham Rd,Ellesmere Rd,136,136,136,MARKHAM RD,ELLESMERE RD,6153,702,Markham Rd And Ellesmere Rd,None,MARKHAM RD,ELLESMERE RD,None,None,None,Scarborough,Scarborough-Guildwood(24),None,None,None,43,None,None,2018-02-16T05:00:00,"{'type': 'Point', 'coordinates': (-79.2317560025442, 43.7764360086941)}"
